no;title;author;journal;number;cites;year;cid;pubid;id
1;Variation in kisspeptin and RFamide-related peptide (RFRP) expression and terminal connections to gonadotropin-releasing hormone neurons in the brain: a novel medium for …;LMN Smith JT, Coolen LM, Kriegsfeld LJ, Sari IP, Jaafarzadehshirazi MR ...;Endocrinology.;149 (11), 5770-82;304;2008;9238488435955087095;f2IySw72cVMC;On5zuCgAAAAJ
2;Potent action of RFamide-related peptide-3 on pituitary gonadotropes indicative of a hypophysiotropic role in the negative regulation of gonadotropin secretion.;BGE Clarke IJ, Sari IP, Qi Y, Smith JT, Parkington HC, Ubuka T, Iqbal J, Li ...;Endocrinology.;149 (11), 5811-21;279;2008;11107411968658277178,5871867402138331070;pyW8ca7W8N0C;On5zuCgAAAAJ
3;Effect of RF-Amide-Related Peptide-3 on Luteinizing Hormone and Follicle-Stimulating Hormone Synthesis and Secretion in Ovine Pituitary Gonadotropes;AJTIJC Ika P. Sari, Alexandra Rao, Jeremy T. Smith;Endocrinology;150 (12), 5549-5;151;#N/A;17477204720774112197;yD5IFk8b50cC;On5zuCgAAAAJ
4;Gonadotropin-inhibitory hormone is a hypothalamic peptide that provides a molecular switch between reproduction and feeding;IJ Clarke, JT Smith, BA Henry, BJ Oldfield, A Stefanidis, RP Millar, IP Sari, ...;Neuroendocrinology;95 (4), 305-316;115;2012;4281056931997179258;4DMP91E08xMC;On5zuCgAAAAJ
5;Evidence that RF-amide related peptides are inhibitors of reproduction in mammals;SJT Clarke IJ, Qi Y, Puspita Sari I;Front Neuroendocrinol..;30 (3), 371-8;105;2009;7063027203747552146;D03iK_w7-QYC;On5zuCgAAAAJ
6;Estradiol-17beta inhibits gonadotropin-releasing hormone-induced Ca2+ in gonadotropes to regulate negative feedback on luteinizing hormone release.;CIJ Iqbal J, Latchoumanin O, Sari IP, Lang RJ, Coleman HA, Parkington HC;Endocrinology.;150 (9), 4213-20;26;2009;9472007766124727173;a0OBvERweLwC;On5zuCgAAAAJ
7;Variation in kisspeptin and gonadotropin-inhibitory hormone expression and terminal connections to GnRH neurons in the brain: a novel medium for seasonal breeding in the sheep;JT Smith, LM Coolen, LJ Kriegsfeld, IP Sari, MR Jaafarzadehshirazi, ...;Endocrinology;149 (11), 5770-5782;21;2008;5256121134472993734;b1wdh0AR-JQC;On5zuCgAAAAJ
8;Indonesian herbals reduce cholesterol levels in diet-induced hypercholesterolemia through lipase inhibition;IP Sari, A Nurrochmad, IM Setiawan;Malaysian Journal of Pharmaceutical Sciences;11 (1), 13;12;2013;14089921762923267697;7PzlFSSx8tAC;On5zuCgAAAAJ
9;Rahasia Sehat Madu;I Puspitasari;Yogyakarta: PT. Bentang Pustaka;;12;2007;6502782925240515221;u5HHmVD_uO8C;On5zuCgAAAAJ
10;Derivatives of benzylidene cyclohexanone, benzylidene cyclopentanone, and benzylidene acetone, and therapeutic uses thereof;MS Reksohadiprodjo, H Timmerman, S Dummy, SA Margono, S Martono, ...;US Patent;6,777,447;11;2004;14273468033960872077;aqlVkmm33-oC;On5zuCgAAAAJ
