no;title;author;journal;number;cites;year;cid;pubid;id
1;Manajemen pemasaran analisis perilaku konsumen;BS Dharmmesta, TH Handoko;Edisi Pertama, Cetakan Keempat, Penerbit BPFE, Yogyakarta;;521;2008;16809829927292266005;ML0RJ9NH7IQC;LVksS_UAAAAJ
2;Manajemen pemasaran;B Swastha, TH Handoko;Edisi Kedua. Cetakan Kedelapan. Jakarta: Penerbit Liberty;;425;2002;15358019405980743177;blknAaTinKkC;LVksS_UAAAAJ
3;Loyalitas pelanggan: Sebuah kajian konseptual sebagai panduan bagi peneliti;BS Dharmmesta;Journal of Indonesian Economy and Business;14 (3);379;1999;15581020963835538275;dhFuZR0502QC;LVksS_UAAAAJ
4;Azas-azas marketing;S Basu;BPFE-UGM. Yogjakarta;;176;1984;373464012403127902;zLWjf1WUPmwC;LVksS_UAAAAJ
5;Irawan. 2008;S Basu;Manajemen Pemasaran Modern;;154;#N/A;12623932949125562066;wbdj-CoPYUoC;LVksS_UAAAAJ
6;Manajemen Pemasaran Modern;SDH Basu;Liberty;;111;1990;15818655190810022106;j8SEvjWlNXcC;LVksS_UAAAAJ
7;Theory of planned behaviour dalam penelitian sikap, niat dan perilaku konsumen;BS Dharmmesta;Kelola;7 (1998);103;1998;11752247928931493292;ldfaerwXgEUC;LVksS_UAAAAJ
8;Pengaruh ketidakpuasan konsumen, karakteristik kategori produk, dan kebutuhan mencari variasi terhadap keputusan perpindahan merek;S Junaidi, BS Dharmmesta;Journal of Indonesian Economy and Business;17 (1);70;2002;14905822067771436277;BUYA1_V_uYcC;LVksS_UAAAAJ
9;Irawan. 2001;BS Dharmmesta;Manajemen Pemasaran Modern;12;68;#N/A;18263031302363135585;OU6Ihb5iCvQC;LVksS_UAAAAJ
10;Manajemen pemasaran;BS Dharmmesta;Universitas Terbuka;2 (658.8), 1-38;63;2014;10584780957960521081;NaGl4SEjCO4C;LVksS_UAAAAJ
11;Azas-azas marketing;BS Dharmmesta;Yogyakarta: Liberty;;63;2002;2383938197775689890;Y0pCki6q_DkC;LVksS_UAAAAJ
12;Manajemen penjualan;S Basu;Edisi Ketiga Cetakan Kelima, BPFE UGM, Yogyakarta;;58;2010;1146160383089434137;eJXPG6dFmWUC;LVksS_UAAAAJ
13;Pengantar Bisnis Modern;S Basu, I Sukotjo;Edisi Kesepuluh. Liberty. Jogjakarta;;58;2002;15633904995634102664;D_sINldO8mEC;LVksS_UAAAAJ
14;Manajemen pemasaran: Analisa perilaku konsumen;S Basu, H Hani;Edisi Pertama, Cetakan Ketiga, BPFE-Yogyakarta;;55;2000;2444547166625443273;fEOibwPWpKIC;LVksS_UAAAAJ
15;Irawan. 1990;S Basu;Manajemen Pemasaran Modern;;46;#N/A;8289285365579939215;q3oQSFYPqjQC;LVksS_UAAAAJ
16;Kontribusi Involvement Dan Trust In A Brand;LI Darsono, BS Dharmmesta;Jurnal Ekonomi dan Bisnis Indonesia;20 (2005);43;2005;18054118876986307286;tS2w5q8j5-wC;LVksS_UAAAAJ
17;Perilaku beralih merek konsumen dalam pembelian produk otomotif;K Purwani, BS Dharmmesta;Journal of Indonesian Economy and Business;17 (3);38;2002;4681200824101934650;MXK_kJrjxJIC;LVksS_UAAAAJ
