no;title;author;journal;number;cites;year;cid;pubid;id
1;Analisis investasi dan manajemen portofolio;E Tandelilin;Yogyakarta: Bpfe;;1900;2001;15150247309427670420;geHnlv5EZngC;F40fW3gAAAAJ
2;Portofolio dan Investasi: Teori dan aplikasi;E Tandelilin;Kanisius;;1686;2010;7558413752307554340;bEWYMUwI8FkC;F40fW3gAAAAJ
3;Analisis Investasi dan Manajemen Portofolio;T Eduardus;BPFE UGM, Yogyakarta;;96;2001;5833853911974659595;-f6ydRqryjwC;F40fW3gAAAAJ
4;Portofolio dan Investasi teori dan aplikasi;T Eduardus;Edisi-I, Penerbit kanisius, Yogyakarta;;85;2010;4899151878346934315;Wp0gIr-vW9MC;F40fW3gAAAAJ
5;Determinants of Systematic Risk: The Experience of Some Indonesian Common Stock;E Tandelilin;Kelola;6 (1997);70;1997;3967666215470891648;qxL8FJ1GzNcC;F40fW3gAAAAJ
6;Supriyatna.(2007);E Tandelilin, H Kaaro, PA Mahadwartha;Corporate governance, risk management, and bank performance: Does type of …;;48;2007;16165016942529450495;mvPsJ3kp5DgC;F40fW3gAAAAJ
7;Portofolio dan Investasi, Edisi Pertama;E Tandelilin;Yogyakarta: Kanisius;1 (1);43;2010;12081630970688599739;cFHS6HbyZ2cC;F40fW3gAAAAJ
8;Corporate governance, risk management and bank performance: Does type of ownership matter;E Tandelilin, H Kaaro, PA Mahadwartha, S Supriyatna;EADN individual research grant project;34, 115-118;38;2007;3102501849127419227;3fE2CSJIrl8C;F40fW3gAAAAJ
9;Can Debt and Dividend Policies Substitute Insider ownership in Controlling Equity Agency Conflict?;E Tandelilin, T Wilberforce;Gadjah Mada International Journal of Business;4 (2002);30;2002;15933385519153755114;eflP2zaiRacC;F40fW3gAAAAJ
10;Manajemen Investasi;E Tandelilin;Universitas Terbuka;1 (332), 1-34;16;2012;5015555439668148362;9ZlFYXVOiuMC;F40fW3gAAAAJ
11;The impact of the tick size reduction on liquidity: Empirical evidence from the Jakarta stock exchange;L Purwoto, E Tandelilin;Gadjah Mada International Journal of Business;6 (2), 225-249;15;2004;1476084997693052499;W7OEmFMy1HYC;F40fW3gAAAAJ
12;Beta pada Pasar Bullish dan Bearish: Studi Empiris di Bursa Efek Jakarta;E Tandelilin;Journal of Indonesian Economy and Business;16 (3);15;2001;15711244644845775333;eJXPG6dFmWUC;F40fW3gAAAAJ
13;Determinants of bank profit efficiency: Evidence from Indonesia;T Eduardus, S Husnan, MM Hanafi;International Journal of Economics and Finance Studies;4 (2), 163-173;10;2012;9092558645783565581;GnPB-g6toBAC;F40fW3gAAAAJ
14;Risiko sistematik (Beta): berbagai isu pengestimasian dan ketertarapannya dalam penelitian dan praktik;E Tandelilin;text;;9;2003;2912151332884394231;MXK_kJrjxJIC;F40fW3gAAAAJ
15;Faktor-Faktor yang Mempengaruhi Transaksi Rumah Sederhana Tipe 36 di Kabupaten Boyolali Provinsi Jawa Tengah;M Taufiq;Universitas Gadjah Mada;;8;2007;14145214960809143120;u9iWguZQMMsC;F40fW3gAAAAJ
16;A comparison of some Philippine and Indonesian common stocks in selected financial accounting ratios and securities systematic risk;E Tandelilin;Kelola;6 (1997);7;1997;1379920666566905929;Y0pCki6q_DkC;F40fW3gAAAAJ
17;GAINS FROM INTERNATIONAL DIVERSIFICATION AND DOMESTIC PORTFOLIO IN EMERGING STOCKS MARKETS: PHILIPPINE AND INDONESIAN PERSPECTIVES;E Tandelilin;Gadjah Mada International Journal of Business;1 (2), 63-84;6;1999;9229389070782429162;nb7KW1ujOQ8C;F40fW3gAAAAJ
18;Internet search traffic and its influence on liquidity and returns of Indonesia stocks: An empirical study;B Usman, E Tandelilin;Journal of Indonesian Economy and Business: JIEB.;29 (3), 203;5;2014;3220775001364771373;Zph67rFs4hoC;F40fW3gAAAAJ
19;Dividend policy in Indonesia: A life-cycle explanation;L Wardhana, E Tandelilin, I Lantara, E Junarsin;Asian Finance Association (AsianFA);2014 Conference Paper;5;2014;6678290100588986978;R3hNpaxXUhUC;F40fW3gAAAAJ
20;The Validity of The CAPM: The Case From JSX;E Karambe, E Tandelilin;Jurnal Ekonomi dan Bisnis Indonesia;18 (2003);5;2003;4071326695233281756;aqlVkmm33-oC;F40fW3gAAAAJ
21;Stabilitas dan Prediktabilitas Beta Saham: Studi Empiris di Bursa Efek Jakarta;E Tandelilin, IWN Lantara;Journal of Indonesian Economy and Business;16 (2), 164-176;5;2001;15047514842950536953;sSrBHYA8nusC;F40fW3gAAAAJ
22;Detecting the Existence of Herding Behavior in Intraday Data: Evidence from the Indonesia Stock Exchange;S Setiyono, E Tandelilin, J Hartono, MM Hanafi;Gadjah Mada International Journal of Business;15 (1), 27-44;4;2013;5960984900480385826;2osOgNQ5qMEC;F40fW3gAAAAJ
23;Dasar-dasar Manajemen Investasi;E Tandelilin;Keuangan;;4;2010;12415794905985129372;bFI3QPDXJZMC;F40fW3gAAAAJ
24;Konflik keagenan: Hubungan simultan kepemilikan manajerial, kebijakan utang, dan kebijakan dividen;F Susilowati, E Tandelilin;Jurnal keuangan dan perbankan;19 (1);3;2015;17303096837392192452;ZfRJV9d4-WMC;F40fW3gAAAAJ
25;Kepemilikan Institusional dan Mekanisme Pengendalian Konflik Keagenan;LI Wardhana;Universitas Gadjah Mada;;3;2011;11278697131034368714;pqnbT2bcN3wC;F40fW3gAAAAJ
26;Efektivitas Penerapan Price Limit di Bursa Efek Jakarta;M Rita, E Tandelilin;Journal of Indonesian Economy and Business;22 (2), 162-179;3;2007;3873337473956712413;M3ejUd6NZC8C;F40fW3gAAAAJ
27;Asymmetric Information in the Ipo Underwriting Process on the Indonesia Stock Exchange: Pricing, Initial Allocation, Underpricing, and Price Stabilization;A Utamaningsih, E Tandelilin, S Husnan, RA Sartono;Journal of Indonesian Economy and Business;28 (3), 311-321;2;2013;14217277717651978902;Tiz5es2fbqcC;F40fW3gAAAAJ
28;Pengujian Kembali Teori Pecking Order dan Trade-Off Pada Perusahaan Tumbuh dan Dewasa di Bursa Efek Indonesia;M Beliya;Universitas Gadjah Mada;;2;2013;13865927524788611660;OU6Ihb5iCvQC;F40fW3gAAAAJ
29;Analisis Pengaruh Variabel Ekonomi Makro dan Indeks Saham Internasional Terhadap Indeks Harga Saham Gabungan di Bursa Efek Indonesia Dengan Pendekatan Kointegrasi;B Prima, E Tandelilin;Text;;2;2012;13789739878974559102;UxriW0iASnsC;F40fW3gAAAAJ
30;Evaluasi Investasi Laparoscopy Surgery (Minimal Invasive Surgery) di RS Bethesda;IK LALITA;Universitas Gadjah Mada;;2;2007;15483140634211679336;LPZeul_q3PIC;F40fW3gAAAAJ
31;Analisis Break Even Point Badan Usaha Milik Daerah Kabupaten upang:: Studi pada PD. Percetakan dan Pembuatan Kantong Semen, 2004-2005;RM FUAH;Universitas Gadjah Mada;;2;2007;14720498633757080751;vRqMK49ujn8C;F40fW3gAAAAJ
32;THE IMPACT OF ASIAN FINANCIAL CRISIS ON STOCKS’BEHAVIOR: EVIDENCE FROM JAKARTA STOCK EXCHANGE;E Tandelilin;Journal of Indonesian Economy and Business;17 (4);2;2002;1046030703757386681;zYLM7Y9cAGgC;F40fW3gAAAAJ
33;The Native Earnings Effect Hypothesis as a Derivation of the Market Overreaction;DD Simatupang, E Tandelilin;Gadjah Mada International Journal of Business;3 (2001);2;2001;16474054911899870011;V3AGJWp-ZtQC;F40fW3gAAAAJ
34;"Analisis Reaksi Investor Terhadap Pengumuman Right Issue di Pasar Modal Indonesia. Analysis of Investors' Reaction To Right Issue Announcements in Indonesia's Capita; Market";A Safitri, E Tandelilin;Sosiohumanika;13 (2000);2;2000;12803042467141564903;f2IySw72cVMC;F40fW3gAAAAJ
