no;title;author;journal;number;cites;year;cid;pubid;id
1;Entrepreneurial intention among Indonesian and Norwegian students;S Kristiansen, N Indarti;Journal of Enterprising Culture;12 (01), 55-78;425;2004;12766877309982035204;u5HHmVD_uO8C;E6E4t0YAAAAJ
2;Intensi kewirausahaan mahasiswa: Studi perbandingan antara Indonesia, Jepang dan Norwegia;N Indarti, R Rostiani;Journal of Indonesian Economy and Business;23 (4), 369-384;207;2008;14729245156668280498;qjMakFHDy7sC;E6E4t0YAAAAJ
3;Factors affecting business success among SMEs: Empirical evidences from Indonesia;N Indarti, M Langenberg;Journal of Asia Entrepreneurship and Sustainability;3 (2);137;2004;6524478751139194582;u-x6o8ySG0sC;E6E4t0YAAAAJ
4;Factors affecting entrepreneurial intentions among Indonesian students;N Indarti;Journal of Indonesian Economy and Business;19 (1);39;2004;4829925449891324777;2osOgNQ5qMEC;E6E4t0YAAAAJ
5;Underlying factors of entrepreneurial intentions among Asian students;N Indarti, R Rostiani, T Nastiti;The South East Asian Journal of Management;143-160;33;2016;15845501406473985494;0EnyYjriUFMC;E6E4t0YAAAAJ
6;Knowledge as a critical resource in innovation among small furniture companies in Indonesia;M Van Geenhuizen, N Indarti;Gadjah Mada International Journal of Business;7 (3), 371-390;29;2005;15905920085519729943;9yKSN-GCB0IC;E6E4t0YAAAAJ
7;Determinants of entrepreneurial intention: The case of Norwegian students;N Indarti, S Krinstiansen;Gadjah Mada International Journal of Business;5 (1), 79-95;29;2003;10738255414899858973;hqOjcs7Dif8C;E6E4t0YAAAAJ
8;The effect of knowledge stickiness and interaction on absorptive capacity;N Indarti;University of Groningen, Groningen, The Netherlands;;26;2010;17770525524135677186;ufrVoPGSRksC;E6E4t0YAAAAJ
9;Impact of the environment support on creativity: Assessing the mediating role of intrinsic motivation;A Paramitha, N Indarti;Procedia-Social and Behavioral Sciences;115, 102-114;22;2014;13490239295905850474;QIV2ME_5wuYC;E6E4t0YAAAAJ
10;A Study of Factors Affecting Business Success Among SMEs;N Indarti, M Langenberg;Empirical evidences from Indonesia;;21;2005;3325210072667948250,4881790072468285747;-f6ydRqryjwC;E6E4t0YAAAAJ
11;Business Location and Success: The Case of Internet Café Business in Indonesia;N Indarti;Gadjah Mada International Journal of Business;6 (2), 171-192;15;2004;5893590402014422950;UeHWp8X0CEIC;E6E4t0YAAAAJ
12;Determinants of Entrepreneurial Intention: The Case of Norwegian Students;S Kristiansen, N Indarti;International Journal of Business Gadjah Mada;5 (1);14;2003;5717612010595775080;KxtntwgDAa4C;E6E4t0YAAAAJ
13;Minat berwirausaha mahasiswa Indonesia dan Cina;T Nastiti, N Indarti, R Rostiani;Journal of Management and Business;9 (2);13;2010;16476441259890658198;IWHjjKOFINEC;E6E4t0YAAAAJ
14;Knowledge acquisition and innovation: potentials for upgrading of very small and small firms in furniture manufacturing in Indonesia;M Van Geenhuizen, N Indarti, DP Soetanto;International Journal of Foresight and Innovation Policy;6 (4), 207-224;13;2010;5860670797852544134;W7OEmFMy1HYC;E6E4t0YAAAAJ
15;Manajemen dalam berbagai Perspektif;TH Handoko, N Indarti, R Almahendra;Erlangga;;12;2017;3925119601379617696;ZHo1McVdvXMC;E6E4t0YAAAAJ
16;Entrepreneurhip dan Usaha Kecil Menengah diIndonesia;N Indarti;Ardana Media, Magelang;;12;2007;3364902960976450872;cFHS6HbyZ2cC;E6E4t0YAAAAJ
17;Rendah, Adopsi Teknologi Informasi oleh UKM di Indonesia;F Wahid, N Indarti;Majalah Pusat Informasi Perkoperasian;24 (281);12;2007;4919847673857902298,9928466664276735788;Wp0gIr-vW9MC;E6E4t0YAAAAJ
18;Knowledge as a critical resource in innovation among small furniture companies in Indonesia: An exploration;N Indarti, M Van Geenhuizen;Gadjah Mada International Journal of Business;7, 371-390;9;2005;2424106650558656559;d1gkVwhDpl0C;E6E4t0YAAAAJ
19;Manajemen pengetahuan: Teori dan praktik;N Indarti, D Dyahjatmayanti;Yogyakarta: Gadjah Mada University Press;;8;2014;11625293575141251687;BrmTIyaxlBUC;E6E4t0YAAAAJ
20;Effect of networks on product innovation: Empirical evidence from Indonesian SMEs;N Indarti, T Postma;Journal of Innovation Management;1 (2), 140-158;8;2013;6006249507932073668;mVmsd5A6BfQC;E6E4t0YAAAAJ
21;Knowledge and innovation in the Indonesian artisanal furniture industry;M Van Geenhuizen, N Indarti;Louvain-la-Neuve: European Regional Science Association (ERSA);;8;2006;98822936025152566;IjCSPb-OGe4C;E6E4t0YAAAAJ
