no;title;author;journal;number;cites;year;cid;pubid;id
1;Konstruksi dan reproduksi kebudayaan;I Abdullah;Pustaka Pelajar;;590;2006;17731785993346002358;u5HHmVD_uO8C;GxOFSBIAAAAJ
2;Sangkan paran gender;I Abdullah;Pustaka pelajar;;285;1997;3694947744700233357;LO7wyVUgiFcC;GxOFSBIAAAAJ
3;Seks, Gender & Reproduksi Kekuasaan;I Abdullah;Tarawang Press;;129;2001;9353695756202095925,13046622205577277099;u-x6o8ySG0sC;GxOFSBIAAAAJ
4;Agama dan Kearifan Lokal dalam Tantangan Global;I Abdullah, I Mujib, MI Ahnaf;Sekolah Pascasarjana UGM;;54;2008;9842261030599272368;2osOgNQ5qMEC;GxOFSBIAAAAJ
5;The Muslim businessmen of Jatinom: religious reform and economic modernization in a central Javanese town;I Abdullah;Universiteit van Amsterdam;;52;1994;12531097371000536855;d1gkVwhDpl0C;GxOFSBIAAAAJ
6;Di depan kotak ajaib:: Menonton televisi sebagai praktik konsumsi;C BUDIMAN, I Abdullah;Universitas Gadjah Mada;;49;1999;17644549881287380052;9yKSN-GCB0IC;GxOFSBIAAAAJ
7;Simbol, makna, dan pandangan hidup Jawa: analisis gunungan pada upacara Garebeg;I Abdullah;Balai Kajian Sejarah dan Nilai Tradisional;;43;2002;16661337219529377271;qjMakFHDy7sC;GxOFSBIAAAAJ
8;Penelitian berwawasan gender dalam ilmu sosial;I Abdullah;Jurnal Humaniora;15 (3), 265-275;31;2003;3767059524088794766;UeHWp8X0CEIC;GxOFSBIAAAAJ
9;Dari Domestik ke Publik: Jalan Panjang Pencarian Identitas Perempuan;I Abdullah;dalam Sangkan Paran Gender, Yogyakarta: Pustaka Pelajar;;27;1997;13597813850067634590;Y0pCki6q_DkC;GxOFSBIAAAAJ
10;Konstruksi dan reproduksi sosial atas bencana alam;I Abdullah;Sekolah Pascasarjana UGM;;23;2008;7396596889351993852;IjCSPb-OGe4C;GxOFSBIAAAAJ
11;Dinamika Masyarakat dan Kebudayaan Kontemporer;I Abdullah, U Wening, J Hasse;Yogyakarta: Tici Publications Bekerjasama Pustaka Pelajar;;21;2009;3864395304886917681;eQOLeE2rZwMC;GxOFSBIAAAAJ
12;Dilema Wanita antara industri rumah tangga dan aktivitas domestik;K Suratiyah, M Molo, I Abdullah;Aditya Media;;19;1996;3325480791175047541;WF5omc3nYNoC;GxOFSBIAAAAJ
13;Agama, Pendidikan Islam, Dan Tanggung Jawab Sosial Pesantren;M Zain, J Hasse;Sekolah Pascasarjana Ugm;;18;2008;17098402810129688311;zYLM7Y9cAGgC;GxOFSBIAAAAJ
14;Wanita bakul di pedesaan Jawa;I Abdullah;Pusat Penelitian Kependudukan, Universitas Gadjah Mada;;18;1989;15823044866776717145;YsMSGLbcyi4C;GxOFSBIAAAAJ
15;Dari bounded system ke borderless society: krisis metode antropologi dalam memahami masyarakat masa kini;I Abdullah;Antropologi Indonesia;;16;2014;299501398160159238;LkGwnXOMwfcC;GxOFSBIAAAAJ
16;Tantangan Pembangunan Ekonomi dan Transformasi Sosial: Suatu Pendekatan Budaya;I Abdullah;Humaniora;14 (3), 260-270;16;2002;2785150074168570202;Tyk-4Ss8FVUC;GxOFSBIAAAAJ
17;ISLAM SYARIAH DAN ISLAM ADAT (KONSTRUKSI IDENTITAS KEAGAMAAN DAN PERUBAHAN SOSIAL DI KALANGAN KOMUNITAS MUSLIM HATUHAHA DI NEGERI PELAUW);YZ Rumahuru;Universitas Gadjah Mada;;14;2012;18060403918092586383;5nxA0vEk-isC;GxOFSBIAAAAJ
18;Berpihak pada manusia: paradigma nasional pembangunan Indonesia baru;I Abdullah;Tici;;14;2010;15661535083075757045;UebtZRa9Y70C;GxOFSBIAAAAJ
19;Indonesia: In search of transition.;HGC Schulte Nordholt, I Abdullah;Pustaka Pelajar;;14;2002;11659470597012032129;W7OEmFMy1HYC;GxOFSBIAAAAJ
20;Dalaq di Pesantren;S Zuhri;Universitas Gadjah Mada;;12;2006;2238520573220125233;roLk4NBRz8UC;GxOFSBIAAAAJ
