no;title;author;journal;number;cites;year;cid;pubid;id
1;Human resources for health in southeast Asia: shortages, distributional challenges, and international trade in health services;C Kanchanachitra, M Lindelow, T Johnston, P Hanvoravongchai, ...;The Lancet;377 (9767), 769-781;246;2011;7907453982120761068;u-x6o8ySG0sC;mPQuEycAAAAJ
2;First report from the Asian rotavirus surveillance network;J Bresee, ZY Fang, B Wang, EAS Nelson, J Tam, Y Soenarto, SA Wilopo, ...;Emerging infectious diseases;10 (6), 988;221;2004;8765865625217127886;u5HHmVD_uO8C;mPQuEycAAAAJ
3;Health and health-care systems in southeast Asia: diversity and transitions;V Chongsuvivatwong, KH Phua, MT Yap, NS Pocock, JH Hashim, ...;The Lancet;377 (9763), 429-437;152;2011;9659753945413582834;9yKSN-GCB0IC;mPQuEycAAAAJ
4;Ageing and adult health status in eight lower-income countries: the INDEPTH WHO-SAGE collaboration;P Kowal, K Kahn, N Ng, N Naidoo, S Abdullah, A Bawah, F Binka, ...;Global health action;3 (1), 5302;148;2010;4371652711367326311;d1gkVwhDpl0C;mPQuEycAAAAJ
5;Rotavirus epidemiology: the Asian rotavirus surveillance network;EAS Nelson, JS Bresee, UD Parashar, MA Widdowson, RI Glass, ...;Vaccine;26 (26), 3192-3196;101;2008;445204621956576587;LPZeul_q3PIC;mPQuEycAAAAJ
6;Causal effect of health on labor market outcomes: Experimental evidence;D Thomas, E Frankenberg, J Friedman, JP Habicht, M Hakimi, ...;UCLA CCPR Population Working Papers;;96;2006;6892745289971255203;2osOgNQ5qMEC;mPQuEycAAAAJ
7;Cause-specific mortality in Africa and Asia: evidence from INDEPTH health and demographic surveillance system sites;PK Streatfield, WA Khan, A Bhuiya, N Alam, A Sié, AB Soura, B Bonfoh, ...;Global health action;7 (1), 25362;77;2014;5944240839209007898,14777139595185284450,15601157001506247398;YsMSGLbcyi4C;mPQuEycAAAAJ
8;Health and quality of life among older rural people in Purworejo District, Indonesia;N Ng, M Hakimi, P Byass, S Wilopo, S Wall;Global health action;3 (1), 2125;71;2010;12406629581381126124;UeHWp8X0CEIC;mPQuEycAAAAJ
9;Iron deficiency and the well-being of older adults: Early results from a randomized nutrition intervention;D Thomas, E Frankenberg, J Friedman, JP Habicht, M Hakimi, N Jones, ...;SurveyMETER;;66;2003;2999077495977749870;qjMakFHDy7sC;mPQuEycAAAAJ
10;Health inequalities among older men and women in Africa and Asia: evidence from eight Health and Demographic Surveillance System sites in the INDEPTH WHO-SAGE Study;N Ng, P Kowal, K Kahn, N Naidoo, S Abdullah, A Bawah, F Binka, ...;Global Health Action;3 (1), 5420;52;2010;10725955402602197199;IjCSPb-OGe4C;mPQuEycAAAAJ
11;Economic evaluation of a routine rotavirus vaccination programme in Indonesia;SA Wilopo, P Kilgore, S Kosen, Y Soenarto, S Aminah, A Cahyono, M Ulfa, ...;Vaccine;27, F67-F74;48;2009;12088857642839190051;zYLM7Y9cAGgC;mPQuEycAAAAJ
12;HIV/AIDS-related mortality in Africa and Asia: evidence from INDEPTH health and demographic surveillance system sites;PK Streatfield, WA Khan, A Bhuiya, SMA Hanifi, N Alam, O Millogo, A Sie, ...;Global health action;7 (1), 25370;36;2014;16663789840099867553;-_dYPAW6P2MC;mPQuEycAAAAJ
13;Perilaku seks pranikah remaja;KY Rahyani, A Utarini, SA Wilopo, M Hakimi;Kesmas: National Public Health Journal;7 (4), 180-185;32;2012;8378901265523377405;3s1wT3WcHBgC;mPQuEycAAAAJ
14;Is self-rated health an independent index for mortality among older people in Indonesia?;N Ng, M Hakimi, A Santosa, P Byass, SA Wilopo, S Wall;PloS one;7 (4), e35308;32;2012;3084706664035650893;Tyk-4Ss8FVUC;mPQuEycAAAAJ
15;The INDEPTH standard population for low-and middle-income countries, 2013;O Sankoh, D Sharrow, K Herbst, C Whiteson Kabudula, N Alam, S Kant, ...;Global health action;7 (1), 23286;31;2014;6014298088752635112;WF5omc3nYNoC;mPQuEycAAAAJ
16;What works to improve duration of exclusive breastfeeding: lessons from the exclusive breastfeeding promotion program in rural Indonesia;KA Susiloretni, H Hadi, YS Prabandari, YS Soenarto, SA Wilopo;Maternal and child health journal;19 (7), 1515-1525;29;2015;9343640049505911696;0EnyYjriUFMC;mPQuEycAAAAJ
17;Mortality from external causes in Africa and Asia: evidence from INDEPTH Health and Demographic Surveillance System Sites;PK Streatfield, WA Khan, A Bhuiya, SMA Hanifi, N Alam, E Diboulo, ...;Global health action;7 (1), 25366;19;2014;14389960574683020939;_FxGoFyzp5QC;mPQuEycAAAAJ
18;CHESS: an innovative concept for a new generation of population surveillance.;O Sankoh, I Network, M Bangha, JB Emina, AJ Herbst, S Tollman, S Kant, ...;The lancet global health;3 (12), e742;17;2015;7560331335358017808;yB1At4FlUx8C;mPQuEycAAAAJ
19;Rotavirus surveillance to determine disease burden and epidemiology in Java, Indonesia, August 2001 through April 2004;SA Wilopo, Y Soenarto, JS Bresee, A Tholib, S Aminah, A Cahyono, ...;Vaccine;27, F61-F66;16;2009;10167484630176918991;ufrVoPGSRksC;mPQuEycAAAAJ
20;The effectiveness of multilevel promotion of exclusive breastfeeding in rural Indonesia;KA Susiloretni, S Krisnamurni, Sunarto, SYD Widiyanto, A Yazid, ...;American Journal of Health Promotion;28 (2), e44-e55;15;2013;9224390831812547472;roLk4NBRz8UC;mPQuEycAAAAJ
21;Infant mortality among Indonesian boys and girls: effect of sibling status;A Wahab, A Winkvist, H Stenlund, SA Wilopo;Annals of tropical paediatrics;21 (1), 66-71;13;2001;808557960548601128;W7OEmFMy1HYC;mPQuEycAAAAJ
22;Determinan Abortus di Indonesia;T Kuntari, SA Wilopo, O Emilia;Kesmas: National Public Health Journal;4 (5), 223-229;9;2010;8344606949935847053;ZHo1McVdvXMC;mPQuEycAAAAJ
23;Determinan Penggunaan Metode Kontrasepsi IUD di Indonesia Analisis Data SDKI 2002-2003;R Pastuti, SA Wilopo;Berita Kedokteran Masyarakat;23 (2), 71;9;2007;6626840876807443825;eq2jaN3J8jMC;mPQuEycAAAAJ
24;Why population-based data are crucial to achieving the Sustainable Development Goals;O Sankoh;International journal of epidemiology;46 (1), 4;7;2017;18330203258717413886;tzM49s52ZIMC;mPQuEycAAAAJ
25;Hubungan Antara Akses KB dengan Pemilihan Kontrasepsi Hormonal dan Non Hormonal di Kabupaten Purworejo;S Panuntun, SA Wilopo, L Kurniawati;Berita Kedokteran Masyarakat;25 (2), 88;7;2009;15984238592941470072;RYcK_YlVTxYC;mPQuEycAAAAJ
26;Efektivitas Pendidikan Kesehatan Melalui E-File Multimedia Materi KRR dan Tatap Muka di Kelas terhadap Peningkatan Pengetahuan Kesehatan Reproduksi Remaja;M Arfan, SA Wilopo, B Wahyuni;Berita Kedokteran Masyarakat;26 (3), 107;6;2010;533230979529637412;2KloaMYe4IUC;mPQuEycAAAAJ
27;Pola, tren, dan perbedaan praktik menyusui di Indonesia: analisis deskriptif peran modernisasi dan budaya tradisional dari data survei demografi kesehatan Indonesia 2007;SA Wilopo;Jurnal gizi klinik Indonesia;6 (1), 42-51;6;2009;6323125895424201624;RGFaLdJalmkC;mPQuEycAAAAJ
