no;title;author;journal;number;cites;year;cid;pubid;id
1;Tsunamis as geomorphic crises: lessons from the December 26, 2004 tsunami in Lhok Nga, west Banda Aceh (Sumatra, Indonesia);R Paris, P Wassmer, J Sartohadi, F Lavigne, B Barthomeuf, E Desgages, ...;Geomorphology;104 (1-2), 59-72;227;2009;16639049812688075909;u5HHmVD_uO8C;jZ6odzcAAAAJ
2;Coastal sedimentation associated with the december 26, 2004 tsunami in lhok nga, west banda aceh (sumatra, indonesia);R Paris, F Lavigne, P Wassmer, J Sartohadi;Marine Geology;238 (1-4), 93-106;191;2007;4764272775668326320;u-x6o8ySG0sC;jZ6odzcAAAAJ
3;People's behaviour in the face of volcanic hazards: Perspectives from Javanese communities, Indonesia;F Lavigne, B De Coster, N Juvin, F Flohic, JC Gaillard, P Texier, J Morin, ...;Journal of Volcanology and Geothermal Research;172 (3-4), 273-287;162;2008;576932687300938302;dshw04ExmUIC;jZ6odzcAAAAJ
4;Lessons learned from the 2010 evacuations at Merapi volcano;ETW Mei, F Lavigne, A Picquout, E De Bélizal, D Brunstein, D Grancher, ...;Journal of volcanology and geothermal research;261, 348-365;89;2013;1135807467599429032;IjCSPb-OGe4C;jZ6odzcAAAAJ
5;The impact of tidal flooding on a coastal community in Semarang, Indonesia;MA Marfai, L King, J Sartohadi, S Sudrajat, SR Budiani, F Yulianto;The Environmentalist;28 (3), 237-248;89;2008;1817348994614903512;qjMakFHDy7sC;jZ6odzcAAAAJ
6;Assessing the impact of land use policy on urban-rural sustainability using the FoPIA approach in Yogyakarta, Indonesia;HJ König, J Schuler, U Suarma, D McNeill, J Imbernon, F Damayanti, ...;Sustainability;2 (7), 1991-2009;52;2010;10308085552047639137;9yKSN-GCB0IC;jZ6odzcAAAAJ
7;Natural hazards in Central Java Province, Indonesia: an overview;MA Marfai, L King, LP Singh, D Mardiatno, J Sartohadi, DS Hadmoko, ...;Environmental Geology;56 (2), 335-351;52;2008;13205994936839110125;UeHWp8X0CEIC;jZ6odzcAAAAJ
8;Landslide hazard and risk assessment and their application in risk management and landuse planning in eastern flank of Menoreh Mountains, Yogyakarta Province, Indonesia;DS Hadmoko, F Lavigne, J Sartohadi, P Hadi;Natural Hazards;54 (3), 623-642;40;2010;5932110624599345388;zYLM7Y9cAGgC;jZ6odzcAAAAJ
9;Learning from a major disaster (Banda Aceh, December 24th, 2004): A methodology to calibrate simulation codes for tsunami inundation models;F Lavigne;Zeitschrift fur Geomorphologie, NF;146, 3-265;26;2006;9964334180336500652;2osOgNQ5qMEC;jZ6odzcAAAAJ
10;Urban vulnerability in Bantul district, Indonesia—Towards safer and sustainable development;DR Hizbaron, M Baiquni, J Sartohadi, R Rijanta;Sustainability;4 (9), 2022-2037;18;2012;14295751785492468641;BqipwSGYUEgC;jZ6odzcAAAAJ
11;Pengantar geografi tanah;J Sartohadi, J Suratman, NIS Dewi;Yogyakarta: Yogyakarta: Pustaka Pelajar;;17;2013;10772176928752835112;SP6oXDckpogC;jZ6odzcAAAAJ
12;Characteristic and behavior of rainfall induced landslides in Java Island, Indonesia: an overview;N Christanto, DS Hadmoko, CJ Westen, F Lavigne, J Sartohadi, ...;EGU General Assembly Conference Abstracts;11, 4069;15;2009;2355815236148293051;W7OEmFMy1HYC;jZ6odzcAAAAJ
13;The calamity of eruptions, or an eruption of benefits? Mt. Bromo human–volcano system a case study of an open-risk perception;S Bachri, J Stötter, M Monreal, J Sartohadi;Natural Hazards and Earth System Sciences;15 (2), 277-290;14;2015;17879890101995071988;SeFeTyx0c_EC;jZ6odzcAAAAJ
14;Automated landform classification in a rockfall-prone area, Gunung Kelir, Java;G Samodra, G Chen, J Sartohadi, DS Hadmoko, K Kasama;Earth Surface Dynamics;2 (1), 339-348;11;2014;17373095978035554339;pqnbT2bcN3wC;jZ6odzcAAAAJ
15;Generating landslide inventory by participatory mapping: an example in Purwosari Area, Yogyakarta, Java;G Samodra, G Chen, J Sartohadi, K Kasama;Geomorphology;306, 306-313;9;2018;11444464284390162681;pyW8ca7W8N0C;jZ6odzcAAAAJ
16;Morphodynamic of barito delta, Southern kalimantan;D Arisanty;Universitas Gadjah Mada;;9;2013;13935519106747617965;blknAaTinKkC;jZ6odzcAAAAJ
17;Evaluasi Potensi Degradasi Lahan dengan Menggunakan Analisa Kemampuan Lahan dan Tekanan Penduduk Terhadap Lahan Pertanian di Kecamatan Kokap Kabupaten Kulon Progo;J Sartohadi, FF Putri;;;9;2008;7958079640004673052;Se3iqnhoufwC;jZ6odzcAAAAJ
18;Tidal flood risk assessment using iteration model and Geographic Information System;MA Marfai, S Sudrajat, SR Budiani, J Sartohadi;The competitive research grants scheme no ID: UGM/PHB/;/2004, Gadjah Mada …;9;2005;15653168723022330701;Y0pCki6q_DkC;jZ6odzcAAAAJ
19;Comparing data-driven landslide susceptibility models based on participatory landslide inventory mapping in Purwosari area, Yogyakarta, Java;G Samodra, G Chen, J Sartohadi, K Kasama;Environmental Earth Sciences;76 (4), 184;8;2017;2874561956579421646;1qzjygNMrQYC;jZ6odzcAAAAJ
20;Contribution of anisotropy of magnetic susceptibility (AMS) to reconstruct flooding characteristics of a 4220 BP tsunami from a thick unconsolidated structureless deposit …;PC Wassmer, CA Gomez, T Iskandasyah, F Lavigne, J Sartohadi;Frontiers in Earth Science;3, 40;8;2015;452546439250417633;cFHS6HbyZ2cC;jZ6odzcAAAAJ
21;Faciès et transferts sédimentaires associés au tsunami du 26 décembre 2004 sur le littoral au nord-est de Banda Aceh (Sumatra, Indonésie);P Wassmer, P Baumert, F Lavigne, R Paris, J Sartohadi;Géomorphologie: relief, processus, environnement;13 (4), 335-346;8;2007;2345760610200200382;Tyk-4Ss8FVUC;jZ6odzcAAAAJ
22;Understanding of earthquake damage pattern through geomorphological approach: A case study of 2006 Earthquake in Bantul, Yogyakarta, Indonesia;DW Nurwihastuti, J Sartohadi, D Mardiatno, U Nehren;World Journal of Engineering and Technology;2 (03), 61;7;2014;15113078960612493083;RGFaLdJalmkC;jZ6odzcAAAAJ
23;Pengelolaan Bencana Kegunungapian Kelud pada Periode Krisis Erupsi 2014;J Sartohadi, ES Pratiwi;Pustaka Pelajar;;7;2014;5318730094604054903;OU6Ihb5iCvQC;jZ6odzcAAAAJ
24;Traditional Knowledge of Homegarden-Dry Field Agroforestry as a Tool for Revitalization Management of Smallholder Land Use in Kulon Progo, Java, Indonesia;P Suryanto, SM Widyastuti, J Sartohadi;International Journal of Biology;4 (2), 173;7;2012;5706610273491075211;qxL8FJ1GzNcC;jZ6odzcAAAAJ
25;Assessing social vulnerability to seismic hazard through spatial multi criteria evaluation in Bantul District, Indonesia;DR Hizbaron, M Baiquni, J Sartohadi, R Rijanta, M Coy;Conference of Development on the Margin, Tropentag;;7;2011;5146281949435997352;YsMSGLbcyi4C;jZ6odzcAAAAJ
26;Coastal zone management due to abrasion along the coastal area of Tegal, Central Java Indonesia;J Sartohadi, MA Marfai, D Mardiatno;Proceeding International Coastal Conference, Nagoya Japan;23-25;7;2009;17836396409564695904;EUQCXRtRnyEC;jZ6odzcAAAAJ
27;Rockfall susceptibility zoning based on back analysis of rockfall deposit inventory in Gunung Kelir, Java;G Samodra, G Chen, J Sartohadi, DS Hadmoko, K Kasama, MA Setiawan;Landslides;13 (4), 805-819;6;2016;164649405183882107;u9iWguZQMMsC;jZ6odzcAAAAJ
28;Pengurangan Risiko Gempabumi Melalui Evaluasi Bangunan Tempat Tinggal dan Lingkungannya di Kecamatan Pleret Kabupaten Bantul;A Saputra;Universitas Gadjah Mada;;6;2012;199695920243083342;_FxGoFyzp5QC;jZ6odzcAAAAJ
29;The Landslide Distribution in Loano Sub-District, Purworejo District, Central Java Province, Indonesia;J Sartohadi;Forum Geografi;22 (2), 129-144;6;2008;15666747444769676352;UebtZRa9Y70C;jZ6odzcAAAAJ
30;The role of breakwaters on the rehabilitation of coastal and mangrove forests in West Kalimantan, Indonesia;AA Akbar, J Sartohadi, TS Djohan, S Ritohardoyo;Ocean & coastal management;138, 50-59;5;2017;11930211475833647221;V3AGJWp-ZtQC;jZ6odzcAAAAJ
31;Geospatial Assessment of Coseismic Landslides in Baturagung Area;A Saputra, J Sartohadi, DS Hadmoko, C Gomez;Forum Geografi;29 (2), 99-114;5;2016;10633220555810979903;1sJd4Hv_s6UC;jZ6odzcAAAAJ
32;Converting urban waste into energy in Kathmandu Valley: barriers and opportunities;MEI Shrestha, J Sartohadi, MK Ridwan, DR Hizbaron;Journal of Environmental Protection;5 (09), 772;5;2014;1221693897760156154;5nxA0vEk-isC;jZ6odzcAAAAJ
33;Government and community involvement in environmental protection and flood risk management: lessons from Keko Machungwa, Dar es Salaam, Tanzania;T Sakijege, J Sartohadi, MA Marfai, G Kassenga, S Kasala;Journal of Environmental Protection;5 (09), 760;5;2014;7443539357131118224;roLk4NBRz8UC;jZ6odzcAAAAJ
34;Assessment of adaptation strategies to flooding: A comparative study between informal settlements of Keko Machungwa in Dar es Salaam, Tanzania and Sangkrah in Surakarta, Indonesia;T Sakijege, J Sartohadi, MA Marfai, GR Kassenga, SE Kasala;Jàmbá: Journal of Disaster Risk Studies;6 (1), 1-10;5;2014;16597147365998858135;M05iB0D1s5AC;jZ6odzcAAAAJ
35;Landslide susceptibility assessment using heuristic statistically method in Kayangan Catchment Kulon Progo Yogyakarta-Indonesia;J Sartohadi, G Samodra, D Sri Hadmoko;International Journal of Geoinformatics;6 (3), 23;5;2010;5400485944336857078;LkGwnXOMwfcC;jZ6odzcAAAAJ
36;Terapan Geomorfologi dalam Pengelolaan Sumberdaya Air;J Sartohadi;Jurnal Alami;12, 16-21;5;2007;12033113088510101386;mB3voiENLucC;jZ6odzcAAAAJ
37;Geomorphological analysis for soil mapping using remote sensing and geographic information systems: a case study in Western Gunungkidul, Yogyakarta-Indonesia;J Sartohadi;na;;5;2001;12148059707936498262;dfsIfKJdRG4C;jZ6odzcAAAAJ
38;Coseismic landslide susceptibility assessment using geographic information system;A Saputra, C Gomez, DS Hadmoko, J Sartohadi;Geoenvironmental Disasters;3 (1), 27;4;2016;6550796668235100585;8AbLer7MMksC;jZ6odzcAAAAJ
39;The Long-Term Morphodynamic of Barito Delta, Southern Kalimantan, Indonesia;A Deasy;Journal of Environmental Science and Engineering;;4;2012;10693008358578060072;M3ejUd6NZC8C;jZ6odzcAAAAJ
40;Tinjauan Kerentanan, Risiko dan Zonasi Rawan Bahaya Rockfall di Kulonprogo, Yogyakarta;DR Hizbaron, DS Hadmoko, S Wibawa, SA Dalimunthe, J Sartohadi;Forum Geografi;24 (2), 119-136;4;2010;10885047024152244237;tkaPQYYpVKoC;jZ6odzcAAAAJ
41;GIS application for comprehensive spatial landslides analysis in Kayangan Catchment, Menoreh mountains, Java Indonesia+ poster;DS Hadmoko, J Sartohadi, G Samodra, N Christanto, F Lavigne;Landslide processes: from geomorphologic mapping to landslide modelling …;;4;2009;1942278761292213045;JV2RwH3_ST0C;jZ6odzcAAAAJ
42;Ekosistem Mangrove dan Abrasi di Pesisir Kalimantan Barat;AA Akbar, TS Djohan, J Sartohadi;Jurnal Forum geografi;22 (1), 60-71;4;2008;9523740597798019051;eQOLeE2rZwMC;jZ6odzcAAAAJ
43;Ecosystem services of coastal dune systems for hazard mitigation: Case studies from Vietnam, Indonesia, and Chile;U Nehren, HHD Thai, MA Marfai, C Raedig, S Alfonso, J Sartohadi, ...;Ecosystem-based disaster risk reduction and adaptation in practice;401-433;3;2016;13761311094286295414;vRqMK49ujn8C;jZ6odzcAAAAJ
44;Bromo volcano area as human-environment system: interaction of volcanic eruption, local knowledge, risk perception and adaptation strategy;S Bachri, J Stötter, J Sartohadi;EGU General Assembly Conference Abstracts;15;3;2013;9802525170906575458;WF5omc3nYNoC;jZ6odzcAAAAJ
45;The Role of Vegetation Cover and Catchment Characteristics on Baseflow in Bali Island;S Soedarjanto, J Sartohadi, MP Hadi, P Danoedoro;Indonesia Journal of Geography;43 (2), 97-110;3;2011;12785333332368207912;isC4tDSrTZIC;jZ6odzcAAAAJ
46;Geomorfologi tanah dan aplikasinya untuk pengurangan risiko bencana;J Sartohadi;text;;3;2010;8673627318327848127;eJXPG6dFmWUC;jZ6odzcAAAAJ
47;Pemanfaatan Informasi Kerawanan Gerakan Massa Untuk Penilaian Kemampuan Lahan Di Sub-Das Maetan, Daerah Aliran Sungai Luk Ula Jawa Tengah;J Sartohadi;Majalah Geografi Indonesia;19 (2005);3;2005;2774031649592135772;YFjsv_pBGBYC;jZ6odzcAAAAJ
48;Investigating The Effect of Conservation Techniques on the Land Degradation of Tropical Catchment Prone to Landslide;N Christanto, J Sartohadi, MA Setiawan, MP Hadi, VG Jetten, ...;Jurnal Geografi: Media Informasi Pengembangan dan Profesi Kegeografian;14 (2 …;2;2018;14797447262777224210;WqliGbK-hY8C;jZ6odzcAAAAJ
49;Determining Earthquake Susceptible Areas Southeast of Yogyakarta, Indonesia—Outcrop Analysis from Structure from Motion (SfM) and Geographic Information System (GIS);A Saputra, C Gomez, I Delikostidis, P Zawar-Reza, D Hadmoko, ...;Geosciences;8 (4), 132;2;2018;16321039641213947647;XD-gHx7UXLsC;jZ6odzcAAAAJ
50;Mapping cropping patterns in irrigated rice fields in West Java: Towards mapping vulnerability to flooding using time-series MODIS imageries;R Sianturi, VG Jetten, J Sartohadi;International journal of applied earth observation and geoinformation;66, 1-13;2;2018;14040912485680069350;ye4kPcJQO24C;jZ6odzcAAAAJ
51;Seismic vulnerability assessment of residential buildings using logistic regression and geographic information system (GIS) in Pleret Sub District (Yogyakarta, Indonesia);A Saputra, T Rahardianto, MD Revindo, I Delikostidis, DS Hadmoko, ...;Geoenvironmental Disasters;4 (1), 11;2;2017;1971095667825682033;wbdj-CoPYUoC;jZ6odzcAAAAJ
52;Spatio-Temporal Distribution of Landslides in Java and the Triggering Factors;DS Hadmoko, F Lavigne, J Sartohadi, C Gomez, D Daryono;Forum Geografi;31 (1), 1-15;2;2017;14635180263810411387;HE397vMXCloC;jZ6odzcAAAAJ
53;Public participation in the utilization and rehabilitation of coastal natural resources (case study of coastal erosion in West Kalimantan);S Ritohardoyo, AA Akbar, J Sartohadi, TS Djohan;Journal of Degraded and Mining Lands Management;4 (2), 739;2;2017;16756044510826769716;D_sINldO8mEC;jZ6odzcAAAAJ
54;Keterdapatan sensitive clay pada lokasi longsorlahan di DAS Bompon, Kabupaten Magelang, Jawa Tengah;Y Budianto, J Sartohadi;Jurnal Bumi Indonesia;5 (4);2;2016;10709752021074619312;J-pR_7NvFogC;jZ6odzcAAAAJ
55;Prediction of soil organic carbon loss due to erosion in Girindulu Watersheds;D Mey, J Sartohadi, D Mardiatno, MA Marfai;Journal of Degraded and Mining Lands Management;2 (3), 327-334;2;2015;13928482054790012992;fPk4N6BV_jEC;jZ6odzcAAAAJ
56;Sediment Dynamic in Barito Delta, Southern Kalimantan, Indonesia;D Arisanty;Journal of Environments;1 (1), 30-37;2;2014;3329086914841061192;ZHo1McVdvXMC;jZ6odzcAAAAJ
57;Dinsar technique for retrieving the volume of volcanic materials erupted by Merapi volcano;JTS Sumantyo, M Shimada, PP Mathieu, J Sartohadi, RF Putri;;2012 IEEE International Geoscience and Remote Sensing Symposium, 1302-1305;2;2012;12190145773487682401;HoB7MX3m0LUC;jZ6odzcAAAAJ
58;Analisis Transisi Lahan di Kabupaten Gunungkidul dengan Citra Penginderaan Jauh Multi Temporal;W Wardhana, J Sartohadi, L Rahayu, A Kurniawan;Jurnal Ilmu Kehutanan;6 (2), 89-102;2;2012;11407752278564886642;D03iK_w7-QYC;jZ6odzcAAAAJ
59;Morphologic analysis of Merapi edifice in studying Merapi-type eruption to improve volcanic hazard map;KS HARTINI;Universitas Gadjah Mada;;2;2010;13834456508384427275;q3oQSFYPqjQC;jZ6odzcAAAAJ
60;Spatial modeling and element at risk assessment of Sidoarjo Mud Volcanic Flow;R Rifai;Universitas Gadjah Mada;;2;2008;7639232378245798537;dhFuZR0502QC;jZ6odzcAAAAJ
61;Sedimentary facies and transfer associated with the December 26, 2004 tsunami on the north eastern littoral of Banda Aceh (Sumatra, Indonesia);P Wassmer, P Baumert, F Lavigne, R Paris, J Sartohadi;GEOMORPHOLOGIE-RELIEF PROCESSUS ENVIRONNEMENT;335-346;2;2007;2331726529428688693;kNdYIx-mwKoC;jZ6odzcAAAAJ
62;Valuasi ekonomi risiko bencana alam gerakan massa dan erosi terhadap lahan pertanian di DAS Tinalah Kulonprogo;R Kumalawati;Universitas Gadjah Mada;;2;2005;10097247150842383766;ufrVoPGSRksC;jZ6odzcAAAAJ
63;Geomorfologi Tanah DAS Serayu Jawa Tengah;J Sartohadi;Majalah Geografi Indonesia;18 (2004);2;2004;14154955941175374045;t6usbXjVLHcC;jZ6odzcAAAAJ
64;Korelasi Spasial Antara Tingkat Perkembangan Tanah dengan Tingkat Kerawanan Gerakan Massa di DAS Kayangan Kabupaten Kulon Progo Daerah Istimewa Yogyakarta, Forum Geografi, Vol …;J Sartohadi, R Purwaningsih;Hlm;;2;2004;8145648502625781375;uWQEDVKXjbEC;jZ6odzcAAAAJ
